001,100034,sa
100043_1,100043,sa
100043_2,100043,sa
11201,100043,sa
11201,100044,sa
21101,100034,sa
21101,100044,sa
21101,100057,sa
21101,100058,sa
21101,100070,sa
21101,100092,sa
21101,29139,sa
21201,100034,sa
21201,100043,sa
22031,24151,sa
22031,70159,sa
22101,100038,sa
22101,100043,sa
22101,100061,sa
22101,100074,sa
22301,100038,sa
22301,100043,sa
22301,100052,sa
22301,100053,sa
22301,100054,sa
22301,100059,sa
22301,100061,sa
22301,100074,sa
22301,21008,sa
22301,70159,sa
22601,100043,sa
22601,100054,sa
22601,100059,sa
25657,100059,sa
31501,100068,sa
31501,24011,sa
31600,100034,sa
31600,100038,sa
31600,100043,sa
31600,100044,sa
31600,100052,sa
31600,100053,sa
31600,100054,sa
31600,100057,sa
31600,100058,sa
31600,100059,sa
31600,100061,sa
31600,100062,sa
31600,100065,sa
31600,100067,sa
31600,100068,sa
31600,100070,sa
31600,100074,sa
31600,100092,sa
31600,100118,sa
31600,21008,sa
31600,24011,sa
31600,4001,sa
31600,70159,sa
31600,8001,sa
32101,100062,sa
32101,100118,sa
32101,4001,sa
33101,100065,sa
33101,100067,sa
33101,8001,sa
887787,100044,Bap09060^
CT01,100038,sa
CT02,100038,sa
CT03,100038,sa
CT04,100038,sa
HN01,100054,sa
HN02,100054,sa
HN03,100054,sa
L22031,24151,sa
L22301,100038,sa
L22301,100043,sa
L22301,100052,sa
L22301,100053,sa
L22301,100054,sa
L22301,100059,sa
L22301,100061,sa
L22301,100074,sa
L22301,21008,sa
L22301,24151,sa
L22301,70159,sa
L31600,100043,sa
L31600,100068,sa
L31600,24011,sa
ML01,100059,sa
ML02,100059,sa
ML03,100059,sa
MN01,100067,sa
MN02,100067,sa
MN03,100067,sa
MN04,100067,sa
NH01,100044,sa
NH02,100044,sa
NH03,100044,sa
NH04,100044,sa
NT01,100043,sa
NT02,100043,sa
NT03,100043,sa
NTY01,100062,sa
NTY02,100062,sa
NTY03,100062,sa
NVBH01,100034,sa
NVBH01,100043,sa
NVBH02,100034,sa
R11202,100044,sa
R11401,100070,sa
R11401,100092,sa
R11401,29139,sa
R21101,100043,sa
R21101,100057,sa
R21101,100058,sa
R21101,100070,sa
R21101,100092,sa
R21101,29139,sa
R21202,100034,sa
R21202,100043,sa
R21401,100034,sa
R22301,100038,sa
R22301,100043,sa
R22301,100052,sa
R22301,100053,sa
R22301,100068,sa
R22301,100074,sa
R22301,21008,sa
R22301,26137,sa
R22301,337185,sa
R22301,70159,sa
R22686,337183,sa
R25657,100043,sa
R25657,100059,sa
R25657,170179,sa
R25657,24151,sa
R25657,70159,sa
R32101,100043,sa
R32101,100062,sa
R32101,100118,sa
R32101,10024,sa
R32101,171179,sa
R32101,173179,sa
R32101,24010,sa
R32101,26136,sa
R32101,26137,sa
R32101,266182,Bap09060^
R32101,4001,sa
R32101,87163,sa
R33101,100043,sa
R33101,100065,sa
R33101,100067,sa
R33101,8001,sa
S31600,100034,sa
S31600,100043,sa
S31600,100044,sa
S31600,100057,sa
S31600,100058,sa
S31600,100062,sa
S31600,100065,sa
S31600,100067,sa
S31600,100068,sa
S31600,100070,sa
S31600,100092,sa
S31600,100118,sa
S31600,24011,sa
S31600,4001,sa
S31600,8001,sa
T01,100034,sa
T02,100034,sa
T03,100034,sa
T04,100034,sa
T05,100034,sa
T06,100034,sa
T07,100034,sa
T08,100034,sa
T09,100034,sa
T10,100034,sa
T11,100034,sa
T12,100034,sa

